eventdate,buyer_initials,buyer_name,account_currency,account_id,account_name,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,job_type,first_budget,fb_clicks_all,fb_impressions,fb_leads,fb_link_click,fb_spend,rev_clicks,gross_revenue,net_revenue,buy_side_ctr,roas,rpc,buy_side_cpm,cpc,rpp,cpp,contrib,budget_type,status,devices,countries,network,age_max,age_min,facebook_positions,locales
2024-01-18,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424570410,batch_01|TEST_5|20240117|Ad1,120203732421890410,batch_01|TEST_5|20240117|Adset1,120203732421620410,batch_01|TEST_5|20240117|Wrinkles on Face,final,100,1,84,0,1,2.0,1,0.11111111111111112,0.1,0.011905,0.05,0.1,23.80952381,2.0,0.1,2.0,-1.9,DAILY,PAUSED,"[""mobile""]","[""US""]","[""facebook""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]"
2024-01-19,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424570410,batch_01|TEST_5|20240117|Ad1,120203732421890410,batch_01|TEST_5|20240117|Adset1,120203732421620410,batch_01|TEST_5|20240117|Wrinkles on Face,final,100,6,56,2,6,1.94,5,1.088888888888889,0.98,0.107143,0.5051546391752577,0.16333333333333333,34.642857143,0.323333333333,0.196,0.388,-0.96,DAILY,PAUSED,"[""mobile""]","[""US""]","[""facebook""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]"
2024-01-20,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424570410,batch_01|TEST_5|20240117|Ad1,120203732421890410,batch_01|TEST_5|20240117|Adset1,120203732421620410,batch_01|TEST_5|20240117|Wrinkles on Face,final,100,7,58,4,8,1.49,14,1.4333333333333333,1.29,0.12069,0.865771812080537,0.1842857142857143,25.689655172,0.212857142857,0.09214285714285715,0.106428571429,-0.19999999999999996,DAILY,PAUSED,"[""mobile""]","[""US""]","[""facebook""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]"
2024-01-21,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424570410,batch_01|TEST_5|20240117|Ad1,120203732421890410,batch_01|TEST_5|20240117|Adset1,120203732421620410,batch_01|TEST_5|20240117|Wrinkles on Face,final,100,10,57,5,8,2.03,6,1.5222222222222221,1.37,0.175439,0.6748768472906405,0.137,35.614035088,0.203,0.22833333333333336,0.338333333333,-0.6599999999999997,DAILY,PAUSED,"[""mobile""]","[""US""]","[""facebook""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]"
2024-01-22,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424570410,batch_01|TEST_5|20240117|Ad1,120203732421890410,batch_01|TEST_5|20240117|Adset1,120203732421620410,batch_01|TEST_5|20240117|Wrinkles on Face,final,100,5,79,0,5,2.05,2,0.9444444444444444,0.8500000000000001,0.063291,0.4146341463414635,0.17,25.949367089,0.41,0.42500000000000004,1.025,-1.1999999999999997,DAILY,PAUSED,"[""mobile""]","[""US""]","[""facebook""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]"
2024-01-23,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424570410,batch_01|TEST_5|20240117|Ad1,120203732421890410,batch_01|TEST_5|20240117|Adset1,120203732421620410,batch_01|TEST_5|20240117|Wrinkles on Face,final,100,12,42,5,10,1.17,5,1.5222222222222221,1.3699999999999999,0.285714,1.170940170940171,0.11416666666666665,27.857142857,0.0975,0.27399999999999997,0.234,0.19999999999999996,DAILY,PAUSED,"[""mobile""]","[""US""]","[""facebook""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]"
2024-01-24,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424570410,batch_01|TEST_5|20240117|Ad1,120203732421890410,batch_01|TEST_5|20240117|Adset1,120203732421620410,batch_01|TEST_5|20240117|Wrinkles on Face,final,100,7,33,0,4,0.95,1,0.2888888888888889,0.26,0.212121,0.2736842105263158,0.037142857142857144,28.787878788,0.135714285714,0.26,0.95,-0.69,DAILY,PAUSED,"[""mobile""]","[""US""]","[""facebook""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]"
2024-01-25,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424570410,batch_01|TEST_5|20240117|Ad1,120203732421890410,batch_01|TEST_5|20240117|Adset1,120203732421620410,batch_01|TEST_5|20240117|Wrinkles on Face,final,100,6,25,0,4,0.67,3,0.7666666666666666,0.69,0.24,1.0298507462686566,0.11499999999999999,26.8,0.111666666667,0.22999999999999998,0.223333333333,0.019999999999999907,DAILY,PAUSED,"[""mobile""]","[""US""]","[""facebook""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]"
2024-01-18,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424650410,batch_01|TEST_5|20240117|Ad1,120203732422100410,batch_01|TEST_5|20240117|Adset1,120203732421540410,batch_01|TEST_5|20240117|Best Cream For Deep Wrinkles,final,100,13,86,5,16,1.98,6,2.1444444444444444,1.93,0.151163,0.9747474747474747,0.14846153846153845,23.023255814,0.152307692308,0.32166666666666666,0.33,-0.050000000000000044,DAILY,PAUSED,"[""mobile""]","[""US""]","[""facebook""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]"
2024-01-19,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424650410,batch_01|TEST_5|20240117|Ad1,120203732422100410,batch_01|TEST_5|20240117|Adset1,120203732421540410,batch_01|TEST_5|20240117|Best Cream For Deep Wrinkles,final,100,12,60,2,10,1.72,1,0.13333333333333333,0.12,0.2,0.06976744186046512,0.01,28.666666667,0.143333333333,0.12,1.72,-1.6,DAILY,PAUSED,"[""mobile""]","[""US""]","[""facebook""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]"
